group,cluster,model,library,spark-executors,elapsed-time
tbd-2022z-8,k8s,LR,spark-ml,1,53.682755
tbd-2022z-8,k8s,LR,spark-ml,1,43.569733
tbd-2022z-8,k8s,LR,spark-ml,1,42.42157
tbd-2022z-8,k8s,LR,h20,1,74.30652
tbd-2022z-8,k8s,LR,h20,1,72.512825
tbd-2022z-8,k8s,LR,h20,1,92.03998
tbd-2022z-8,k8s,GBT,spark-ml,1,202.29303
tbd-2022z-8,k8s,GBT,spark-ml,1,211.75581
tbd-2022z-8,k8s,GBT,spark-ml,1,195.81602
tbd-2022z-8,k8s,GBT,h20,1,236.17366
tbd-2022z-8,k8s,GBT,h20,1,287.53015
tbd-2022z-8,k8s,GBT,h20,1,279.29666
tbd-2022z-8,k8s,GBT,synapse-ml,1,130.28766
tbd-2022z-8,k8s,GBT,synapse-ml,1,152.86147
tbd-2022z-8,k8s,GBT,synapse-ml,1,156.45987
tbd-2022z-8,k8s,LR,spark-ml,2,75.42775
tbd-2022z-8,k8s,LR,spark-ml,2,71.10281
tbd-2022z-8,k8s,LR,spark-ml,2,67.269966
tbd-2022z-8,k8s,LR,h20,2,113.29342
tbd-2022z-8,k8s,LR,h20,2,109.194145
tbd-2022z-8,k8s,LR,h20,2,93.583755
tbd-2022z-8,k8s,GBT,spark-ml,2,236.36424
tbd-2022z-8,k8s,GBT,spark-ml,2,229.9245
tbd-2022z-8,k8s,GBT,spark-ml,2,224.0073
tbd-2022z-8,k8s,GBT,h20,2,302.18497
tbd-2022z-8,k8s,GBT,h20,2,277.54776
tbd-2022z-8,k8s,GBT,h20,2,269.99216
tbd-2022z-8,k8s,GBT,synapse-ml,2,142.68776
tbd-2022z-8,k8s,GBT,synapse-ml,2,154.50957
tbd-2022z-8,k8s,GBT,synapse-ml,2,151.40549
tbd-2022z-8,k8s,LR,spark-ml,6,72.653076
tbd-2022z-8,k8s,LR,spark-ml,6,75.08179
tbd-2022z-8,k8s,LR,spark-ml,6,74.19741
tbd-2022z-8,k8s,LR,h20,6,104.651306
tbd-2022z-8,k8s,LR,h20,6,107.91352
tbd-2022z-8,k8s,LR,h20,6,105.501175
tbd-2022z-8,k8s,GBT,spark-ml,6,265.05658
tbd-2022z-8,k8s,GBT,spark-ml,6,267.64938
tbd-2022z-8,k8s,GBT,spark-ml,6,268.58127
tbd-2022z-8,k8s,GBT,h20,6,329.78827
tbd-2022z-8,k8s,GBT,h20,6,295.80902
tbd-2022z-8,k8s,GBT,h20,6,280.6494
tbd-2022z-8,k8s,GBT,synapse-ml,6,175.61012
tbd-2022z-8,k8s,GBT,synapse-ml,6,168.35083
tbd-2022z-8,k8s,GBT,synapse-ml,6,162.50899
tbd-2022z-8,k8s,LR,spark-ml,8,103.71733
tbd-2022z-8,k8s,LR,spark-ml,8,79.86946
tbd-2022z-8,k8s,LR,spark-ml,8,83.76374
tbd-2022z-8,k8s,LR,h20,8,139.93893
tbd-2022z-8,k8s,LR,h20,8,114.09748
tbd-2022z-8,k8s,LR,h20,8,119.26158
tbd-2022z-8,k8s,GBT,spark-ml,8,328.10217
tbd-2022z-8,k8s,GBT,spark-ml,8,267.4008
tbd-2022z-8,k8s,GBT,spark-ml,8,277.4309
tbd-2022z-8,k8s,GBT,h20,8,379.25104
tbd-2022z-8,k8s,GBT,h20,8,316.2341
tbd-2022z-8,k8s,GBT,h20,8,307.31952
tbd-2022z-8,k8s,GBT,synapse-ml,8,194.08437
tbd-2022z-8,k8s,GBT,synapse-ml,8,173.68365
tbd-2022z-8,k8s,GBT,synapse-ml,8,169.05281
tbd-2022z-8,dataproc,LR,spark-ml,1,61.395317
tbd-2022z-8,dataproc,LR,spark-ml,1,55.313915
tbd-2022z-8,dataproc,LR,spark-ml,1,55.79436
tbd-2022z-8,dataproc,LR,h20,1,65.09074
tbd-2022z-8,dataproc,LR,h20,1,54.109047
tbd-2022z-8,dataproc,LR,h20,1,52.345943
tbd-2022z-8,dataproc,GBT,spark-ml,1,150.08803
tbd-2022z-8,dataproc,GBT,spark-ml,1,145.85654
tbd-2022z-8,dataproc,GBT,spark-ml,1,144.59578
tbd-2022z-8,dataproc,GBT,h20,1,274.3875
tbd-2022z-8,dataproc,GBT,h20,1,257.7099
tbd-2022z-8,dataproc,GBT,h20,1,243.45058
tbd-2022z-8,dataproc,GBT,synapse-ml,1,106.60681
tbd-2022z-8,dataproc,GBT,synapse-ml,1,102.71739
tbd-2022z-8,dataproc,GBT,synapse-ml,1,94.72906
tbd-2022z-8,dataproc,LR,spark-ml,2,53.09416
tbd-2022z-8,dataproc,LR,spark-ml,2,46.569366
tbd-2022z-8,dataproc,LR,spark-ml,2,45.973442
tbd-2022z-8,dataproc,LR,h20,2,54.62574
tbd-2022z-8,dataproc,LR,h20,2,46.36443
tbd-2022z-8,dataproc,LR,h20,2,44.43756
tbd-2022z-8,dataproc,GBT,spark-ml,2,149.35884
tbd-2022z-8,dataproc,GBT,spark-ml,2,144.74669
tbd-2022z-8,dataproc,GBT,spark-ml,2,139.68858
tbd-2022z-8,dataproc,GBT,h20,2,173.55453
tbd-2022z-8,dataproc,GBT,h20,2,163.05458
tbd-2022z-8,dataproc,GBT,h20,2,162.73438
tbd-2022z-8,dataproc,GBT,synapse-ml,2,92.41887
tbd-2022z-8,dataproc,GBT,synapse-ml,2,88.56909
tbd-2022z-8,dataproc,GBT,synapse-ml,2,88.06691
tbd-2022z-8,dataproc,LR,spark-ml,6,56.419888
tbd-2022z-8,dataproc,LR,spark-ml,6,49.827217
tbd-2022z-8,dataproc,LR,spark-ml,6,47.226433
tbd-2022z-8,dataproc,LR,h20,6,67.11762
tbd-2022z-8,dataproc,LR,h20,6,48.500492
tbd-2022z-8,dataproc,LR,h20,6,48.86237
tbd-2022z-8,dataproc,GBT,spark-ml,6,156.28122
tbd-2022z-8,dataproc,GBT,spark-ml,6,146.12227
tbd-2022z-8,dataproc,GBT,spark-ml,6,146.40146
tbd-2022z-8,dataproc,GBT,h20,6,180.4625
tbd-2022z-8,dataproc,GBT,h20,6,167.66513
tbd-2022z-8,dataproc,GBT,h20,6,163.62376
tbd-2022z-8,dataproc,GBT,synapse-ml,6,106.70198
tbd-2022z-8,dataproc,GBT,synapse-ml,6,101.992966
tbd-2022z-8,dataproc,GBT,synapse-ml,6,102.4001
tbd-2022z-8,dataproc,LR,spark-ml,8,52.553673
tbd-2022z-8,dataproc,LR,spark-ml,8,44.21039
tbd-2022z-8,dataproc,LR,spark-ml,8,44.28413
tbd-2022z-8,dataproc,LR,h20,8,58.71582
tbd-2022z-8,dataproc,LR,h20,8,45.339928
tbd-2022z-8,dataproc,LR,h20,8,46.356876
tbd-2022z-8,dataproc,GBT,spark-ml,8,149.19283
tbd-2022z-8,dataproc,GBT,spark-ml,8,138.77045
tbd-2022z-8,dataproc,GBT,spark-ml,8,134.67725
tbd-2022z-8,dataproc,GBT,h20,8,164.20761
tbd-2022z-8,dataproc,GBT,h20,8,149.57481
tbd-2022z-8,dataproc,GBT,h20,8,175.84926
tbd-2022z-8,dataproc,GBT,synapse-ml,8,100.99853
tbd-2022z-8,dataproc,GBT,synapse-ml,8,93.3326
tbd-2022z-8,dataproc,GBT,synapse-ml,8,93.76514
